text,label
Mortar assault leaves at least 18 dead,sadness
Goal delight for Sheva,joy
Nigeria hostage feared dead is freed,joy
Bombers kill shoppers,fear
"Vegetables, not fruit, slow brain decline",surprise
PM: Havana deal a good experiment,joy
Kate is marrying Doherty,joy
NASA revisiting life on Mars question,surprise
"Happy birthday, iPod",joy
Alonso would be happy to retire with three titles,joy
Madonna's New Tot 'Happy at Home' in London,joy
Nicole Kidman asks dad to help stop husband's drinking,sadness
United Finds Good Connection in Win,joy
'Runway': Making Good Without Making Nice,joy
"We were 'arrogant and stupid' over Iraq, says US diplomat",sadness
Bad reasons to be good,sadness
Madonna's new baby's daddy didn't realize adoption was `for good',surprise
Women in their 60s 'are perfectly good mothers',sadness
We're a pretty kind 'bully',joy
Moderate drinking reduces men's heart attack risk,joy
Tom Cruise and Katie Holmes set wedding date,joy
Kidnapped AP photographer freed in Gaza,fear
"Bush Insists Troops Stay in Iraq, Predicts Midterm Victory",disgust
Hurricane Paul Weakens To Tropical Storm,surprise
UK announces immigration restrictions,anger
Three found alive from missing Russian ship -report,joy
Poison Pill to Swallow: Hawks Hurting After Loss to Vikes,sadness
Injured Marathon Winner Leaves Hospital,joy
Hacker unlocks Apple music download protection,surprise
Spanish journalist seized in Gaza,fear
Sudan urges UN to replace its special envoy,surprise
Resolution approved for international games,joy
Pair of Satellites Will Document Sun in 3-D,joy
Martian Life Could Have Evaded Detection by Viking Landers,surprise
The sweet tune of an anniversary,joy
Did Viking Probes Miss Life on Mars?,surprise
Diplomat acknowledges US arrogance in Iraq,anger
More Human Remains Found at Ground Zero,sadness
How to Prevent Iraq From Getting Even Worse,fear
Tensions as Hungary marks uprising,fear
Stanford study warns of Internet addiction,fear
No evidence of ice reserves on the moon,sadness
A Picture and A Thousand Words,anger
Parachutist dies at bridge-jump festival,sadness
US Troops Killed In October In Iraq,sadness
"Chefs not counting calories, study finds",sadness
Deaths linked to flu vaccine,sadness
Perfect lives lose their focus,joy
Bread-Heavy Diet Linked to Kidney Cancer,fear
Beating poverty in a small way,joy
Israel insists on Lebanon overflights,anger
Britain to restrict immigrants from new EU members,disgust
Confusion Reigns In the Expanding Digital World,surprise
Game on! London exhibition celebrates the history of video games,joy
Making peace from victory over poverty,joy
Marine killed in fighting west of Baghdad,sadness
Scientists create first cloaking device,joy
Amateur rocket scientists reach for space,joy
Confusion Reigns In the Expanding Digital World,surprise
Deaths linked to flu vaccine,sadness
Israel admits using phosphorous shells in Lebanon,sadness
4th person dies after receiving flu shot,sadness
Police and shoppers targeted in growing Iraq violence,fear
Scientists discover miracle in the depths,surprise
Doctors Seeing Patients Who Think They're Internet Addicted,sadness
China launches two satellites into orbit,joy
Vegetables May Boost Brain Power in Older Adults,surprise
Hurricane Paul nears Category 3 status,fear
"Russian ship sinks, 18-member crew missing",sadness
Iran's president urges higher birth rate,surprise
Apple set for massive market gains,joy
Tumor Types May Explain Survival Rates for Cancer,sadness
Routine mission turns into hunt for missing comrade,sadness
Bad weather slows S.Korean search for Russian ship,sadness
Tailors and housewives busy as Muslims celebrate Eid,joy
Active peace brings the promise of development,joy
Abbas condemns Israeli massacre in northern Gaza Strip,disgust
"Bangladesh ferry sinks, 15 dead",sadness
Bucs find a new kick in life,joy
Google to unveil election mashup,surprise
Police warn of child exploitation online,disgust
Breast Cancer Awareness is Important,fear
Hungary police tackle violent protestors,sadness
Three drivers had reason to be proud in Brazil,joy
Celebrities Protest Malibu Gas Facility,joy
Lebo: A life lived on the edge,anger
"Presto! He's Batman, then magic man",surprise
"Heavy use of mobile phones can make men infertile, scientists say",fear
Russian ship sinks in Pacific,sadness
China Successfully Launches Two Satellites,joy
Prestige has magic touch,joy
"Lies, damned lies, and divorce",sadness
Manning inspires Giants to victory in Dallas,joy
Riot warning for France suburbs,sadness
Full recovery expected for marathon winner,joy
Sony apologises for global battery recall,sadness
Questions on credit card safety,fear
Budapest calm after night of violent protests,anger
Vegetables May Boost Brain Power in Older Adults,joy
Report criticises US press freedoms,anger
French suburb riots could resume,fear
Photographer kidnapping condemned,disgust
Photographer kidnapped in Gaza,disgust
Baseball: Rogers enjoys his muddied streak,joy
"Cultural revolutionary, the iPod is five",joy
Life on Mars? Maybe We Missed It,surprise
Three found alive from missing Russian ship -report,joy
Moderate drinking reduces men's heart attack risk,joy
The sweet tune of an anniversary,joy
Inconvenient truths,anger
Dating difficult for Harry Potter,surprise
Students lose their rite of passage,sadness
Putin vows to tackle illegal immigration,anger
Ottawa must redefine 'terror',fear
"Britain to Limit Workers from Romania, Bulgaria",fear
Top General Optimistic on Iraq,sadness
Kim Osorio Wins Sexual Harrassment Suit Against The Source,joy
Silly and substantial,joy
Official laughs for Borat,joy
Speaker Hastert testifies before panel probing sex scandal,disgust
On Educating Sexes Separately,anger
Tom Cruise and Katie Holmes set wedding date,joy
Martian Life Could Have Evaded Detection by Viking Landers,surprise
Ukraine gas deal marred by fears,fear
Marathon victory comes at heavy cost,joy
College tuition continues climbing,anger
German paper shows soldiers desecrating skull,disgust
"War is close, Ethiopia tells Somali rebels",fear
Advantage Cardinals with Suppan in Game 4,joy
NASA spacecraft to measure Sun,joy
"Sony Hates Europeans, Will Prevent The Importing of PS3",anger
Flu Vaccine Appears Safe for Young Children,joy
Google To Launch Yet Another Search Tool,joy
Tropical Storm Paul's Outer Bands Hit Mexico's Baja California,sadness
Israeli Bomblets Plague Lebanon,fear
"New Indonesia Calamity, a Mud Bath, Is Man-Made",anger
U.S. Weighs Sanctions Against North Korea,anger
"Rice, in Baghdad, Insists That Iraqis Are ",anger
Senator Says U.S. Should Rethink Iraq Strategy,sadness
German Chief Forges Accord on Financing Health Care,joy
Turkish Writers Say Efforts to Stifle Speech May Backfire,anger
Kurdish Lawmaker Killed in an Attack in Baghdad,fear
Anti-U.S. Attack Videos Spread on the Internet,anger
"Women Face Greatest Threat of Violence at Home, Study Finds",disgust
Appeal by Chinese Researcher for Times May Soon Be Heard,joy
Brazil Air Force Cites Faults and Confusion in Fatal Crash,sadness
A Mix of Oil and Environmentalism,fear
Immigrants and French Reach Deal in Standoff,joy
Genghis Khan Beer? Mongolia Grimaces,anger
Dead Bachelors in Remote China Still Find Wives,surprise
"Managua Journal: Hold the Mojito and Margarita, Nicaragua Has el Macu",anger
Paris Journal: Smoking No Longer Tres Chic in France,joy
An Old Letter Casts Doubts on Iran's Goal for Uranium,surprise
U.S. Warns North Koreans About Nuclear Test,fear
Global Sludge Ends in Tragedy for Ivory Coast,sadness
Equipment on Plane in Brazil Collision May Have Been Faulty,sadness
"New Indonesia Calamity, a Mud Bath, Is Man-Made",sadness
Iraqi Journalists Add Laws to List of Dangers,fear
U.N. Force Is Treading Lightly on Lebanese Soil,fear
Cleric Said to Lose Reins Over Part of Iraqi Militia,sadness
"Citing Spy Agencies' Study, Democrats Seek Iraq Changes",surprise
Opera Canceled Over a Depiction of Muhammad,sadness
Military Officials Add to U.S. Criticism of Iraq's Government,joy
Teacher in Hiding After Attack on Islam Stirs Threats,fear
Combative Bush Releases Parts of Terror Study,fear
Growing Unarmed Battalion in Qaeda Army Is Using Internet to Get the Message Out,fear
"Iraqi Linked to Sunni Bloc Is Held in Plot, Military Says",fear
"Seduced by Snacks? No, Not You",disgust
Friends for Life: An Emerging Biology of Emotional Healing,joy
"Alzheimer's Drugs Offer No Help, Study Finds",sadness
"Across Europe, Worries on Islam Spread to Center",sadness
Cooking Defines Sephardic Jews at Sukkot,joy
"Fitness: Bodies in Motion, Clean and Sober",joy
In God's Name: Religion-Based Tax Breaks: Housing to Paychecks to Books,joy
"Yankee Dies in Plane Crash, Official Says",sadness
An Elephant Crackup?,sadness
"With YouTube, Grad Student Hits Jackpot Again",joy
Dow flirts with record highs again,joy
Tropical Storm Isaac forms in Atlantic,fear
New Iraq terror tape calls for abducting foreigners,fear
'Deep regret' for ex-HP exec,sadness
'Opportunity' knocks on geologist's dream crater,joy
Squirrel jumps boy in park; rabies suspected,surprise
Girl left comatose after dental visit dies,sadness
Porn star candidate campaigns on campus,disgust
School ends football season after 0-4 start,sadness
Charlie Sheen to become highest-paid sitcom star,joy
Jon Stewart mocks benefits of CNN's I,surprise
Ashton Kutcher tells secret to Ryan Seacrest,surprise
Nails-on-chalkboard study earns Ig,disgust
Gunman 'fine' before shooting,sadness
Marijuana may stave off Alzheimer's,surprise
Kentucky seeks alcohol huffing ban,joy
Toddler died from tainted spinach,sadness
Judge dismisses Karr's porn case,surprise
10 die in 22-hour Kashmir standoff,fear
Slain Amish girls laid to rest,sadness
"5,000 flee plant fire",fear
Cher auction fetches double pre-sale estimates,joy
Stars scuffle on 'Grey's Anatomy',disgust
Probe under way in Yankee crash,sadness
Amish schoolhouse torn down,sadness
Warner will not run in '08,sadness
Reid land deal under scrutiny,surprise
"Flooding washes out road to Valdez, Alaska",sadness
Briton admits U.S. bomb plot role,sadness
Commentary: Minutemen have a right to be idiotic,anger
Madonna files adoption papers,joy
Gunmen kill 9 at Iraqi TV station,fear
Hastert sorry for scandal but not quitting,sadness
Ex-JonBenet suspect: Child porn case dropped ,anger
"Waste plant fire forces 5,000 to evacuate ",sadness
Toddler died from E. coli tainted spinach ,sadness
Disturbing finds in child sex raids ,disgust
Magazine lists women who had abortions ,anger
"Pot smokers may avoid Alzheimer's, study says ",surprise
Student starts white men's club on campus ,sadness
Kentucky wants to ban alcohol inhalers ,surprise
Peter Pan flies into chapter two ,surprise
Teen repellent inventor wins infamous prize ,joy
"Cher's dress, car, bed have new owners",joy
"Dow hits new record, eyes 12,000 ",joy
Ex-Virginia gov not running for president ,surprise
Yankee pitcher's pilot log found ,surprise
Dem leader's $1 million land deal under scrutiny ,anger
"Dad locked up son, watched on TV, police say ",sadness
Navarrette: Minutemen have a right to be idiotic ,sadness
"Pit bulls jump miniature pony, leave her bloody ",sadness
Alaska town cut off from rest of state by flood ,fear
Trailblazing trio protects City by the Bay ,joy
Madonna files adoption papers in Malawi,joy
'Dr. McDreamy' choked in 'Grey's' scuffle ,sadness
"$10,000 poetry prize awarded ",joy
Las Vegas honour for tiger pair ,joy
UK characters boosting box office ,joy
Cher items snapped up at auction ,joy
Griffiths scorns Withnail 'play' ,disgust
Lily Allen wins web music award ,joy
Costner appeals in casino wrangle,anger
Beyonce copyright claim rejected ,anger
Cohn gunman jailed for 36 years ,joy
Melua's deep sea gig sets record ,joy
Sri Lanka clashes kill 129 troops ,sadness
Gunmen kill 11 in Iraq TV raid ,sadness
Italy drops Sicily bridge plans ,surprise
Amish killings school demolished ,sadness
Pamuk wins Nobel Literature prize,joy
Madonna adoption bid approved ,joy
Man admits UK-US terror bomb plot,fear
Who are you calling fat?,disgust
Test to predict breast cancer relapse is approved,joy
"Two Hussein allies are hanged, Iraqi official says",sadness
Sights and sounds from CES,joy
Schuey sees Ferrari unveil new car,joy
Closings and cancellations top advice on flu outbreak,fear
Trucks swallowed in subway collapse,sadness
Sarkozy letter surprises French cartoons hearing,surprise
"Building a memorial to a son, one child at a time",sadness
Lawmaker seeks iPod ban in crosswalks in New York,surprise
Diabetic waits months for eyeglasses,sadness
Sudan tells United Nations envoy to leave in 72 hours,surprise
5000 years on but couple still hugging,surprise
Defense to challenge Russert's credibility,surprise
"Ozzy, a Hero for the hard-rocking masses",joy
CIA leak trial summary,surprise
Dance movie takes over No. 1,joy
Asian nations urge Myanmar reform,surprise
"After Iraq trip, Clinton proposes war limits",joy
7 dead in apartment building fire,sadness
Male sweat boosts women's hormone levels,surprise
Carphone Warehouse's mixed signals,surprise
Democrats plot Bush troop increase censure,surprise
Cisco sues Apple over iPhone name,anger
BB star Jackson denies Goody comments,disgust
Inter Milan set Serie A win record,joy
US Airways boosts bid for Delta,surprise
Press sees hope in Mecca talks,joy
Bears fan loses bet and changes name,surprise
Global National	Major child porn ring bust,disgust
'Human hair' clue in hunt for airliner,surprise
Johnny Depp to make movie of spy poisoning,joy
Really?: The claim: the pill can make you put on weight,surprise
5 money makeovers,joy
TBS to pay $2M fine for ad campaign bomb scare,fear
"""Stomp the Yard"" has winning moves in its weekend debut",joy
"Discovered boys bring shock, joy",surprise
Bernhard set to leave Volkswagen,sadness
Pacers' Jackson misses gun hearing,fear
Cases: when the simple solution is the right one,joy
Two Muslim groups sue French newspaper International,anger
Golden Globes on their way,joy
"At New OZZFEST, Freedom Ain't Free",surprise
Federer handed tough Aussie draw,sadness
Protesters end strike as Nepal PM concedes demands,joy
"Turner pays for Boston ""bombing""",fear
Two detained in body parts mailing,disgust
Essay: about that mean streak of yours: psychiatry can do only so much,sadness
Hussein's niece pleads for father's life,sadness
Sarkozy heads for clash in cartoons row,anger
Global web of suspects in child-rape download,anger
Blake defeats Moya to retain title,joy
"Storms kill, knock out power, cancel flights",fear
Aquarium puts ailing beluga whale to sleep,sadness
"Microsoft, Sony, we have a problem",surprise
A police state? The issues,fear
Move to ban iPods from crossing the street,surprise
India's Taj Mahal gets facelift,joy
Cheney to Congress: Can't run Iraq war by committee,anger
Ganguly handed India squad call-up,joy
Fortune: Looking beyond the iPhone,joy
Really?: The claim: the back seat of a car is the safest place to sit,surprise
Vaccine mandate upsets legislators,anger
News analysis: Iranian boast is put to test,fear
Panel issues bleak report on climate change,fear
Virtual 'American Idol' hits right notes,joy
"Iraq car bombings kill 22 People, wound more than 60",sadness
'Stomp' steps to No. 1 at box office,joy
Google executive acts as goodwill envoy,joy
Filipino woman kidnapped in Nigeria,fear
"Seahawks, Bears vie for shot at NFL title",joy
Brown not buried as estate issues loom,sadness
Will Rob Cohen Direct Third 'Mummy'?,surprise
EU will urge China to go green,joy
17th-Century Remedy; 21st-Century Potency,surprise
Forecasters expect toasty 2007,fear
'Sunshine' Goydos wins Sony open,joy
Teacher charged with sex assault,disgust
Merck: Gardasil may fight more strains,joy
"Mountain glaciers melting faster, United Nations says",fear
Snow causes airport closures in Britain,sadness
Bananaconda inventor is top poet of kids,joy
Shareholders sue Apple,anger
Israelis retaliate after attack by Lebanese Army,fear
Deadly bird flu confirmed in British Turkeys,fear
Too little sleep may mean too fat kids,surprise
Bathing mom awakes to find baby dead,sadness
Visitors to Eiffel Tower climb to record in 2006,joy
"More sleep, healthier slimmer children ",surprise
Queen battles Bond for Baftas,joy
"Walters on Trump: 'Poor, pathetic man'",sadness
"Ice storm smacks roads, power",fear
Iran says it will strike US interests if Attacked,fear
Palestinian factions to resume talks,joy
Study: men's sweat triggers high sexual arousal in women,surprise
Outcry at N Korea 'nuclear test',fear
Russia plans major military build-up,fear
Archaeologists find remains of couple locked in a hug,surprise
Stenson defends his title at Dubai,joy
Taking the plunge,fear
Updates on world's top stories,joy
Man rides stationary bike for 85 hours,surprise
Ice storm coating Midwest,fear
A Mistrial for Lieut. Watada,anger
Iran warns will hit back at US if attacked,fear
ASEAN talks end on energy-security,joy
"Iraqi death toll exceeded 34,000 in 2006, United Nations says",sadness
Israel intensifies military flights over Lebanon,fear
New gadgets galore at tech show,joy
Another death at Georgia Aquarium,sadness
US to urge Nato Afghan spring offensive,fear
UK letter bombs may be from extremist drivers,fear
Asia seeks breakthrough on North Korea,surprise
Federer overcomes a ragged start,joy
Rowdy fans ejected from the Open,anger
Terai protesters hail 'historic' victory over government,joy
Anger at release of two held over beheading plot,anger
Bush adamant on troops to Iraq,anger
Bebe Neuwirth gets to 'wiggle again',joy
Beckham to L.A.: For the game not fame,joy
Sleep more to fight childhood obesity,surprise
Abbas rejects temporary state,sadness
Investigation of child porn site hits 77 nations,disgust
Sleuths close in on Odysseus home,surprise
Variety: Johnny Depp to make movie of spy poisoning,surprise
Ice storm cripples central U.S.,fear
Park stars as United maintain lead,joy
Prehistoric Romeo and Juliet discovered,surprise
India's famous landmark gets facelift,joy
Joseph Wambaugh's new start,joy
Participant in water-drinking contest dies,sadness
Apple drops bombshell with iPhone,surprise
Bollywood's 'Brangelina' engaged,joy
"Shiite fighters arrested in crackdown, Iraq says",fear
"Rio De Janeiro journal: drawing lines across the sand, between classes",sadness
Models' health guidelines -- will they help?,surprise
Stepping back in time at ski resort,joy
Test cricketer jailed over killing,sadness
Walnuts 'combat unhealthy fats',joy
Apple to Vista upgraders: 'Wait',surprise
Injured Sarwan to miss one-dayers,sadness
Firms on alert for letter bombs,fear
Studios sign off on movie downloads,surprise
Asif returns with four-wicket haul,joy
"Bush authorized Iranians' arrest in Iraq, Rice says",anger
Porn ring scandal reaches Australia,disgust
Deputy health minister arrested in US-Iraqi raid,sadness
Senator Carl Krueger thinks iPods can kill you,surprise
"Finally, Senate okays anti-terror bill Manila",joy
Somalia declares state of emergency,fear
Matt shines with his Alpine finish,joy
BP CEO Browne to step down in June,sadness
An iPhone by any other name? Surely not,surprise
Life in Gaza steadily worsens,sadness
The energy challenge | Exotic visions: how to cool a planet (maybe),surprise
"Easy ways to (really) save $400,000",joy
Shareholders sue Apple,anger
Findings: Can humanity survive? Want to bet on it?,fear
Iran steps up production of weapons-grade uranium,fear
Rig-threat cargo ship towed ashore,fear
Palestinians say clashes hurt their cause,sadness
Male sweat can raise hormones,surprise
Vital Signs: Hazards: Antidepressant linked to fractures in older people,surprise
Peron held over '70s rights abuses,sadness
Space life search turns to TV,surprise
"Super Bowl ads of cartoonish violence, perhaps reflecting toll of war",sadness
YouTube told to drop celeb sex video,surprise
City sets up ice storm shelters,fear
Libby prosecutors await judge's rulings,sadness
Review: 'Alpha Dog' misses the point,sadness
Republicans plan to block Iraq debate,anger
Mixed reaction to China's Africa push,surprise
Snowed in the Canadian Rockies,joy
"Skip the showers: male sweat turns women on, study says",surprise
Gently Weeps' lyrics sheet up for sale,joy
Canete wins inaugural Joburg Open,joy
Rights group halts violent Nepal strikes,joy
Real suffer Carlos injury setback,sadness
Astronaut may have buckled under stress,sadness
Gunmen abduct Filipino woman in Nigeria,fear
NFL team's fan of the year: 'Flag Lady',joy
No 10 rejects police state claim,surprise
Malaysian AirAsia X to fly in July,joy
10 kidnapped at Nigeria oil base,fear
Guy sweat is babe magnet,surprise
Township tourism booming in South Africa,joy
'Alpha Dog' misses the point,surprise
Iran leader pays Nicaragua a visit,surprise
"'Grey's,' 'Pirates' lead People's Choice",joy
Terror network,fear
Now it's official: Iraq's a mess,sadness
Snow brings travel misery to England,sadness
James Brown's 5-year-old son left out of will,surprise
Two men killed by London tube train,sadness
US millions fail to buy influence in deadly Gaza power play,sadness
PLO ministers agreed upon in Mecca,joy
Squadron apologies over 'friendly-fire' death,sadness
New Orleans violence sparks tourism fears,fear
Friendly fire pilot 'experienced',fear
SPACE.com: Black hole triplets spotted,surprise
Vaccines: Mandate or choice?,surprise
"Congolese soldiers riot, loot over pay issue",anger
Commodities lead Europe higher,joy
Ingredient in male sweat raises women's hormone levels,surprise
Goetschl ends Austrian win drought,joy
Doomsday Clock ticking away,fear
Troops massing around Somali town,fear
Tariq Ramadan has an identity issue,surprise
Peretz orders IDF to respond with force to north border attacks,anger
Trains crash near Thai resort town,sadness
"Hamas, Fatah return to unity gov't talks in Mecca",joy
Pats' fourth-quarter rally finishes Chargers,joy
7 Die As US Helicopter Crashes in Iraq,sadness
Millionaire secret Santa dies,sadness
Morrissey may cheer up Eurovision,joy
Christian values guide Dungy and the Colts,joy
Israeli woman's tirade spurs PM outrage,anger
Passing exchange becomes political flashpoint,anger
Police probe 2 church fires half mile apart,sadness
Italy to try US soldier for agent's Iraq death,anger
Depp to star in spy poisoning film,joy
'24's' Jack Bauer returns,joy
US Airways boosts bid for Delta,surprise
"Even before its release, world climate report is criticized as too optimistic",fear
"Second hanging also went awry, Iraq tape shows",sadness
Howell takes one shot lead in Sony Open,joy
Psych checks reviewed after astronaut's crack-up,sadness
"Pap Test, a mainstay against cervical cancer, may be fading",surprise
Martins leads Newcastle fightback,joy
PS3 pricey but impressive,joy
Pluto's revenge: 'Word of the Year' award,joy
European Space Agency,joy
Hackers strike at key Internet servers,anger
Hussein co-defendants executed,sadness
Memo from Frankfurt: Germany relives 1970s terror as 2 seek release from jail,fear
Blissing out in Ojai,joy
"Houston, she's got some problems",sadness
Amazon.com has 'best ever' sales,joy
Hackers attack root servers,anger
Video games can improve your vision,surprise
Internet attacked! (Did anyone notice?),surprise
"In Washington, contractors take on biggest role ever",surprise
Floods force Malaysia evacuations,sadness
"On MySpace, girls seek friends, boys flirt",surprise
Tests of drug to block H.I.V. infection are halted over safety,fear
Zoo polar bear to have root canal,sadness
Europe take big Royal Trophy lead,joy
Israel to install cameras to show live Mughrabi footage,joy
'We lit our last candle yesterday',sadness
Google buys YouTube for $1.65bn,surprise
PSP number one Sony platform in Japan,joy
England include Giles in WC squad,joy
Beckham 'won't play again for Real',sadness
Eight years for Damilola killers,sadness
PC World editor slain at California home,sadness
Hands on 'Doomsday Clock' move forward,fear
Zach Braff says he has 'mild depression',sadness
Investigation of child porn site hits 77 nations USA Today,disgust
Science panel calls global warming unequivocal,fear
News Baby pandas! Baby pandas! Baby pandas!,joy
Get ready for the earnings,joy
Germany agonizes over a brain drain,sadness
Iran and Nicaraguan leaders meet,joy
Secret hotels in Irish countryside,surprise
Fine wines in British Columbia,joy
Philippine president welcomes Senate approval of anti-terror bill ,joy
"Small jet crashes on takeoff, killing 2",sadness
"Bigger, more aggressive rats infesting UK",fear
Travel+Leisure: Next island hot spot: St. Lucia,joy
Real Mallorca rock leaders Sevilla,joy
Iran's boast on uranium enrichment is put to test,fear
"Personal health: for teenagers, the car is the danger zone",fear
Bird watchers flock to see rare owl,joy
Eye on cosmos is lost to short circuit on hubble,sadness
Too young for this: facing cancer under 40,sadness
Unilever group names new chairman,joy
Minister slams airlines on carbon,anger
Rare optimism as North Korea talks reach crossroads,joy
Man beheaded in southern Thailand,sadness
China's 'nightmare scenario',fear
Annual diving contest in South Korea proves a chilly challenge,surprise
Blair says he regrets delays in British soldier's inquest,sadness
Iraqi forces detain official suspected in Shia conspiracy,fear
Wellcome awards anti-fat research,joy
Fingers crossed for North Korea,joy
"No intention of war with Iran, US says",joy
What Newsom faces in aftermath of scandal,fear
Maggie Gyllenhaal's Globes babysitter: Mom,joy
"As inflation soars, Zimbabwe economy plunges",sadness
Pledge: I was abused in frat hazing,disgust
Experts: Fear likely shackled boy,fear
What's behind the chopper crashes in Iraq,fear
"Freed Muslim terror suspect says Britain is ""police state""",fear
Blair apologises over friendly fire inquest,sadness
Depp 'to make Litvinenko movie',joy
Why gas follows oil up but not down,surprise
"'Cravings' still there, sez Tara",joy
Bill would strip convicted legislators of pensions,sadness
Bears watch as lead slips away,sadness
"In clue to addiction, brain injury halts smoking",surprise
"In rigorous test, talk therapy works for panic disorder",joy
Rice: U.S. won't pull plug on Iraq,joy
"On road to Kosovo independence, a warning: go slow",fear
Mistrial for officer who refused to go to Iraq,sadness
Rebels to join Nepal parliament,surprise
"EMI warns on profits, boss goes",fear
Subway collapse caught on camera,sadness
Stinky but true: men's sweat is made for love,surprise
"POLITICS-US: reprieve for officer who denounced ""Immoral War""",joy
Hunters stalk world's tallest trees,sadness
Fuel spill may lead to missing jet,fear
"Sri Lanka floods displace 60,000",sadness
"Justin Timberlake, Cameron Diaz announce split",sadness
Iran to hit US interests if attacked,fear
Israel says hopes to keep Lebanon border calm,joy
Cisco sues Apple over iPhone name,anger
Two Palestinians killed near fence,sadness
EarthLink CEO dies at age 49,sadness
"A star dies, a family feud is born",sadness
"Carter was a disaster, said Ford",anger
Super Bowl MVP Manning insists he's one of the guys,joy
Personal health: the importance of knowing what the doctor is talking about,fear
Israel's Peretz urges halt to contentious Jerusalem construction,anger
Peter Jackson will never work for me again,anger
U.S. keeps Iran options open,joy
European shares hit fresh highs,joy
"For women, nothing's like the smell of men's sweat",surprise
Looking beyond the iPhone,surprise
Freed kidnap suspect: my terror at police raid,fear
"Far away, Super Bowl's losers will be champs",joy
Woman dies after water binge,sadness
Mancuso sparks U.S. celebrations,joy
ASEAN urges North Korea resolution,fear
Late penalty costs Roma the points,sadness
Mistrial declared in teacher-student rape case,sadness
'Bookworm Adventures' wordsmith's joy,joy
Kylie's love split,sadness
iPod good for video games,joy
Review: virtual 'American Idol' hits right notes,joy
Leo battles himself,joy
Attorneys point fingers in fight between Ryan O'Neal and son,anger
John Grisham set for court drama,fear
"Bill Gates and Craig Mundie: vista is Secure, employees are not",surprise
Iraqis fault delayed U.S. plan in attack,anger
Boy Scouts blamed for starting wildfire,fear
China urges UN action on N Korea,fear
"Scorpion on a plane, a pantful of pain",fear
Male sweat boosts women's hormone levels,surprise
Mbeki on the big visit from the Chinese,surprise
French right nominates Sarkozy,joy
"Israeli, Lebanese clash on border",fear
North Korea claims nuclear test,fear
Talks begin on Somalia peacekeepers,joy
Action games improve eyesight,surprise
"A small part of the brain, and its profound effects",surprise
IDF shells Lebanese Army positions across northern border,fear
Thailand: missing 25 years after taking wrong bus,sadness
Ballerina sparks anti-fascist row,anger
Internet boom in China is built on virtual fun,joy
Review: PS3 pricey but impressive,joy
Machinery orders drive Asia upward,joy
'Lost's' Fox: 'I'm a liar and a cheat',disgust
Russia to strengthen its military muscle,fear
"At Libby trial, Russert of NBC gives and gets",fear
North Korea ready to discuss first steps to nuclear resolution,joy
Victim: Gunman bought drink after shooting,surprise
Ferrer victorious in Spanish duel,joy
UK workers on alert for letter bombs,fear
Did NASA accidentally kill life on Mars?,surprise
"New vaccine for cervical cancer could prove useful in men, too",joy
Search on for victims of subway collapse,sadness
