text,label
Human error caused Helios crash,sadness
US to prod NATO allies for more troops to defeat Taliban,fear
Microsoft supports OpenID authentication standard,joy
No buyer in sight for Napster,sadness
"Briefly: preloaded iPods, Wal-Mart movies, Apple stores",joy
China says rich countries should take lead on global warming,sadness
North Korea may begin to dismantle nukes,joy
Tracking down hi-tech crime,joy
Barack Obama formally announces bid for president,joy
Kidnappers seize two in Nigeria,fear
"Indonesia may sell, not give, bird flu virus to scientists",fear
"Attack video saddens ""friendly fire"" widow",sadness
Europe retain trophy with big win,joy
Cutting edge accessories for digital music players,joy
Ice storm descends on central U.S.,fear
Snow brings travel misery to England,sadness
"Indonesia flood forces 340,000 from homes",sadness
Iraqi health minister seized in raid ,surprise
Ice storm brings chaos in U.S.,fear
Stinky flower mystery solved,joy
Congressman rebukes U.S. allies for lack of support in Afghanistan ,anger
Roddick overcomes Federer in final,joy
Prehistoric Romeo and Juliet discovered,joy
Donald and Goydos share Sony lead,joy
U.S. and Iraqis are wrangling over war plans,fear
Sea search for missing Microsoft scientist,sadness
Iran to Hit US Interests if Attacked,fear
Blair: Terror battle will be long,fear
Bear cub returned to the wilderness,joy
Carrefour sales growth falls short,sadness
"Allied with democrats, Lieberman easily aligns with Republicans",surprise
"In the Rockies, pines die and bears feel it",sadness
Iran to strike US interests if attacked,fear
"Nipple covers, other star secrets",disgust
Apple: no iTunes for you if you have Vista!,surprise
Smokestacks in a white wilderness divide Iceland,sadness
That'll cost ya,anger
Botched hangings in Iraq speed sectarianism,fear
Male sweat raises female hormones,surprise
7 GOP senators to force debate on troops in Iraq,joy
Bangladesh ends curfew amid unrest,joy
Italy's dispute with US over Iraq shooting,anger
Here come the Globes!,joy
Snow causes transport chaos in Britain,sadness
Snow causes airport closures in Britain,sadness
"Second opinion: girl or boy? as fertility technology advances, so does an ethical debate",surprise
Heavy snow causes travel chaos and shuts schools,fear
Barbaro's legacy: saving other horses,joy
Luxury digs in South Carolina's Lowcountry,joy
Dozens killed in Baghdad bombing,sadness
Ice storms kill 21 across nation,sadness
De Villiers takes over Dakar lead,joy
Vietnam becomes WTO's 150th member,joy
South African trio share advantage,joy
Observatory: poison begets poison,fear
Action intensity boosts vision,joy
Why the smell of a man's armpit is a turn-on,surprise
Nokia 5300 Xpress Music,joy
"Dell to cut bonuses, trim management",sadness
"Second drop in cancer deaths could point to a trend, researchers say",surprise
TV game shows go interactive,joy
Boy missing since 2002 found alive,joy
"US, North Korea signed nuclear memo",joy
Russia honors Sputnik designer,joy
"In Kenya's capital, a sense that danger is ever stronger",fear
"Bill, thanks for the RSA memories... and laughs",joy
Friendly fire pilot 'experienced',sadness
MySpace welcomes French friends,joy
Airlines: UK airport runway unsafe,fear
The amounts you have to pay for a bomb scare,fear
"In Egypt, Rice speaks softly",joy
"Weekly Nielsen Yvonne De Carlo, 'Munsters' star, dead",sadness
Senate votes to revoke pensions,sadness
EarthLink CEO dies at age 49,sadness
Software giant SAP misses target,sadness
Vital signs: mental abilities: folic acid may improve thinking skills,surprise
De Villiers stretches overall lead,joy
Families celebrate return of sons,joy
China detains 2 after body parts found in mail,fear
North Korea ready to discuss nuke disarmament,joy
"For women, nothing's like the smell of men's sweat",surprise
Nadal wants Australian Open crown,joy
Beijing journal: Olympic construction unearths ancient treasure trove,joy
"Chinese president arrives in Mozambique, African tour nearly over",joy
Reclusive 'Mockingbird' author attends show,joy
"Asia near pact on energy, security",joy
Philippine anti-terror law delayed until June,fear
Ex-suspect slams anti-terror laws,anger
Study detects a gene linked to Alzheimer's,joy
Panda cub makes her debut,joy
Harris haul puts South Africa on top,joy
Weight-loss drug to be sold over the counter,joy
Beckham outlines reasons for move,joy
Study finds gritty air raises heart disease risk in older women,surprise
"Venezuela, Iran fight U.S. dominance",anger
'Housewives' star Marcia Cross on bed rest,sadness
Blog: Here come the Globes!,joy
Greek police hunt embassy attackers,anger
Apple warns iTunes users to wait on Vista,surprise
Tsunami fears ease after quake,fear
China considers Eurobond reserves,joy
Underarm bowls them over,surprise
At least 130 die as blast levels Baghdad market,sadness
New McCain team made attack ads he once faulted,anger
Deaths as bird flu flares in Asia,fear
"Hamas, Fatah leaders pledge to meet until they reach agreement",joy
Officers had 'rapport' with alleged abductor,disgust
No e-Book for Harry Potter VII,sadness
Review: Nokia 5300 Xpress Music,joy
'Can't do this anymore'? Not Jack,surprise
Black hole triplets spotted,surprise
Israel weighs old city project webcast,surprise
Indonesian bird flu deaths hit 61,sadness
Somali refugees cut off from aid,sadness
Microsoft downplays Vista speech-recognition hack,joy
Next island hot spot: St. Lucia,joy
Italy to hold no-show trial of Bronx GI in Iraq slay,anger
Rescued boys parents hail 'miracle',joy
Canadians tracked in child porn ring,disgust
Teen hacks Venezuelan government Web sites,surprise
"Russia plans new ICBMs, nuclear subs",fear
Gere cheers sex workers in AIDS fight,joy
Study: Male sweat causes female hormones to rise,surprise
Collision on icy road kills 7,sadness
Surprise: China cuts price of gas,joy
What the Godfather of Soul meant to me,joy
New Mars orbiter spots Pathfinder landing site,joy
Mass Venezuela opposition rally,anger
Glamour -- and 'Borat' -- at Golden Globes,joy
Terror officials see Al Qaeda chiefs regaining power,fear
"Ivrea journal: In Italian town, a civics lesson from pelting neighbors",surprise
Iraqi sunni lands show new oil and gas promise,joy
Princess and heir of Franz Ferdinand fights to repeal a law and gain a castle,joy
"A film star in Kampala, conjuring aminos ghost",fear
Militants attack U.S. base in Iraq,fear
North Africa feared as staging ground for terror,fear
"Iran says Sunnis, using Pakistan as base, planned fatal bombing",fear
Anglicans rebuke U.S. branch on same-sex unions,anger
Homemade bombs kill 65 on Indian train,sadness
Al Qaeda chiefs are seen to regain power,fear
Chvez threatens to jail violators of price controls,anger
Bush declares Iran's arms role in Iraq is certain,fear
Accord on North Korea is announced,joy
U.S. says powerful Iraqi cleric is living in Iran,fear
"Baghdad plan is a success, Iraq prime minister tells Bush",joy
Iraqi sunni lands show new oil and gas promise,joy
"Dispute over Iraqi cleric, said to have gone to Iran",anger
Planning seen in Iraqi attacks on U.S. copters,fear
"In the world of life-saving drugs, a growing epidemic of deadly fakes",sadness
Basics: a mammal in winter with a furnace of her own,surprise
"Books on science: The problems in modeling nature, with its unruly natural tendencies",surprise
Believing scripture but playing by science's rules,surprise
"A familiar and prescient voice, brought to life",joy
Findings : A cool $25 million for a climate backup plan,surprise
Call it serendipity: a missing piece of Washington's war tent is found,joy
"Free Will: Now you have it, now you don't",surprise
Archaeologists find signs of early chimps' tool use,surprise
Wizardry at Harvard: physicists move light,surprise
The summit - a slap in the face of the Palestinians,disgust
Moscow says Palestine-Israeli contacts key to Mideast peace,joy
Mideast summit edns with little progress,sadness
India decries 'an act of sabotage',fear
Pakistan-India peace talks planned despite bombings,joy
"Czechs, Poles get missile warning",fear
Russia warns US against missile bases in East Europe,fear
"Cheney starts visit to Japan, Australia",joy
China: Cheney shores up the trilateral alliance,joy
Iraq insurgents attack US base,fear
US soldiers die in day of violence,sadness
Iraqi suicide attack kills two US troops as militants fight purge,sadness
Iran reneges on nuclear payments to Russia,fear
Top Colombia official resigns,sadness
Colombia FM resigns after relatives' arrests for militia links,sadness
Foreign minister of Colombia quits in scandal,disgust
New Zealand unlikely to allow crippled Japanese whaler,sadness
Damaged Japanese whaling ship may resume hunting off Antarctica,sadness
Japanese whaling ship won't accept help,disgust
Iran top N-envoy heads for Vienna for nuke talks,joy
Victims of Air India still wait for justice,sadness
Kanishka bombing case: Inquiry judge threatens to quit,disgust
Judge threatens to shut down Air-India inquiry,anger
Royal rescues presidential hopes with commanding performance,joy
Royal seeks to revive French bid,joy
Sarkozy comfort zone offers a royal opportunity,joy
"Hicks first in line for trial, Bush says",fear
Australia tells Bush to speed up Guantanamo trial,surprise
Howard presses Bush on terror suspect,fear
France ends toxic alert at Canadian embassy in Paris,fear
Paris police investigate package at Canadian embassy,fear
False alarm at Canadian embassy in Paris,fear
Afghan forces retake town that was overrun by Taliban,joy
Taliban seize rural district in southwest as police flee,fear
Afghan poppy war alienates farmers,sadness
Will North Korea honor pledge this time?,joy
Kim Jong-il bans Japanese cars in North Korea,surprise
Iran vs. North Korea: not all enemies are equal,anger
Catholic archbishop outlines Anglican merger hopes,joy
Anglican and Catholic churches could merge,joy
US helicopter crash kills 8 troops in Afghanistan,sadness
Eight US soldiers killed in Zabul helicopter crash,sadness
Arroyo lauds passage of anti-terror bill,joy
House passes anti-terrorism measure Manila,joy
Livingstone's transport empire may extend,joy
"London is pace-setter on congestion toll, says mayor",joy
Protest greets congestion charge's westward push,anger
"Thailand attacks kill three, injure 70",sadness
Thai Govt moves to smooth over relations with south,joy
Bombings say Muslim rebels won't negotiate,fear
Roots of autism more complex than thought,surprise
Largest ever autism study identifies two genetic culprits,surprise
Canadian breakthrough offers hope on autism,joy
Beware of peanut butter pathogens,fear
Experts offer advice on salmonella,joy
Experts issue new heart disease guidelines for women,joy
"For women, aspirin a day could keep stroke away",joy
High cholesterol raises stroke risk healthy women,fear
Cooked chicken breasts join tainted-food recalls,fear
Ready to eat chicken breasts recalled due to suspected listeria,fear
Fully-cooked chicken strips recalled ,surprise
Committee debates cancer vaccine plan,surprise
Stop cancer with a shot,joy
1 mln birds to be vaccinated from bird flu near Moscow,joy
Thousands tested after Russian H5N1 outbreak,fear
"Russian bird flu outbreak is deadly ""Asian strain""",fear
Bernard Matthews to lay off up to 500 workers,sadness
Matthews lays off 130 turkey workers,sadness
Reopening bird flu-hitfactory ignores risks - poultryman,fear
Goodbye to girlhood,sadness
Media cited for showing girls as sex objects,anger
Sexualisation 'harms' young girls,anger
A shot in the arm,fear
Thousands line up to get late flu shots,fear
King county offering some free flu vaccines,joy
Bush vows cooperation on health care,joy
Health returns as hot issue in '08 race,joy
Small-business owners find Bush health plan appealing,joy
Pediatricians say more cord blood is needed now,fear
Whether to save cord blood can be puzzle for parents,surprise
Retinal implant helping blind people see again,joy
"Indonesia ""will not share"" flu samples",surprise
Health Canada issues advice on canned tuna,fear
Cholesterol link in diabetes study,sadness
Pig cells hope for diabetes cure,surprise
Sick hearts switch on a fetal gene,surprise
Foetal mechanism helps heart failure,surprise
"Planned cesareans not risk-free, group warns",fear
Scientists tout cocoa's health benefits,joy
Feeding your brain: new benefits found in chocolate,joy
Some cocoa may improve brain blood flow,joy
Lawyer for deceased Nazi-era collaborator Papon vows to bury him ,anger
"Cocoa could be antidote to age-related diseases, says new study",joy
China denies reports of North Korean apology,surprise
Hungarian opposition calls for vote after violence escalates,anger
AU regrets Sudan's expulsion of UN envoy ,sadness
Bush officials: no big move in Iraq plan ,fear
Opponent is put on the spot over remarks about Clinton,surprise
House ethics panel talks to Hastert aide,joy
BellSouth says profit rises 30% on cingular earnings,joy
Enron boss gets 24-year sentence,sadness
Sony apologizes for battery recall,joy
Google unveils do-it-yourself search engine,joy
Firefox 2.0 hits the Web,joy
Oracle World opens with Dell unveiling AMD-powered computers,joy
Seahawks' QB Hasselbeck out 2-4 weeks,sadness
Marathon winner released from hospital ,joy
Punter charged with stabbing asks to live outside state,anger
Allmendinger joining Toyota team in NASCAR ,joy
Trying to assess the damage in Cleveland ,sadness
Bryant's boot may have salvaged Bucs' season,joy
This week in auto racing October 27 - October 29,joy
Merriman violation stuns ex-teammate,surprise
Bruce revells in upset,anger
Steelers' Roethlisberger has concussion,sadness
Arthurs upsets Robredo in first round at the St. Petersburg Open,surprise
Mbeki: 2010 World Cup Planning on Track,joy
Clinical Everton show Moyes means business,joy
MS Adds Office 2007 to Vista Coupon Program,joy
One search does not fit all,surprise
Apple's dark secret? The 39% claim,surprise
Bad weather cancels men's downhill,sadness
Cool millions for YouTube founders,joy
"London market a shopping, dining haven",joy
'Jackass' star marries childhood friend The secrets people reveal,joy
Audio Slide Show: A love story lasting 61 years,joy
Microsoft to release next generation phone,joy
Body Shop's Roddick has Hepatitis C,sadness
Teen allegedly armed by mom turns self in,fear
Oxfam: action needed for Chad,joy
Violence continues at disputed holy site,sadness
Storm leaves behind major travel troubles,sadness
3 U.S. troops killed hunting weapons cache,sadness
China's 'Friends' highlights Web freedoms,joy
NATO: Afghanistan peace 'by 2009',joy
Alaska's northern lights captivate Japanese,joy
Smith can't be buried until hearing,sadness
Spacewalker sets new U.S. record,joy
Fortune: India the Superpower? Think again,surprise
Kerry blasts 'escalation of misguided war',anger
Anna Nicole claimant: A prince of a guy?,surprise
'Ronnie' and Eto'o hug and make up,joy
Best of the Chicago Auto Show,joy
"'Grey's,' 'Betty,' 'Scrubs' get boost",joy
Massive mud traps dozens of families,sadness
"Edwards blogger quits, becomes journalistic martyr",surprise
Town packs gym to mourn 10 killed in fire,sadness
Spain ahead although Nadal is out,joy
ECB holds rates at 3.5 percent,joy
Iran rejects US claims of supplying weapons in Iraq,fear
Jakarta begins disinfection,joy
"Rowling 'heartbroken,' 'euphoric' at 'Potter's' end",sadness
Apple revs up Mac attacks on Vista,disgust
Fear hinders black marrow donation,fear
Texan allegedly joined Somalia rebel plot,anger
"U.S. to allow 7,000 Iraqi refugees",joy
Japan: Whaling activists 'terrorists',fear
'Hannibal' bites the big one,surprise
Women protest Pakistan demolition,anger
Wii news for gamers,joy
Democrats look beyond symbolic vote on Iraq,joy
Portugal to vote on abortion laws,surprise
Frustration rises as North Korea nuclear talks stall,fear
Horse teeth give details of ancient big chill,surprise
Scam lures victims with free puppy offer,surprise
Two Koreas to resume talks,joy
Mickelson driving force at masters,joy
England opt for Bopara over Loye,joy
Create own 'Thrillville' for a wild ride,joy
Edwards' campaign blogger quits amid Catholic controversy,surprise
Judge: Preserve Anna Nicole's body,sadness
"Dolphins, sea lions may report for duty soon",joy
Nasdaq-LSE battle nears deadline,fear
A personal plea for HPV vaccine plan,joy
U.S. opens door for Iraqi refugees,joy
Swiss plane crashes at Moscow airport,sadness
Study: napping might help heart,joy
MySpace sales surging,joy
"Telecoms giant slashes 12,500 jobs",sadness
Air France KLM profit rises,joy
Uganda parliament votes to send troops to Somalia,fear
King and queen reign at British film awards,joy
Murphys rule box office with 'Norbit',joy
Thousands rally in Lebanon,fear
Yahoo's mission quest,joy
Area should get 3-5 inches of snow today,joy
Miss Brazil wins lawsuit competition,joy
"Snow wreaks havoc in East, Midwest",sadness
The secrets people reveal,surprise
Research supports medicinal marijuana,surprise
All African amputee football games kick off,joy
Group: Video shows chopper go down,sadness
Sale of Chrysler possible,joy
Russia condemns terrorist acts on buses outside Beirut,sadness
Technology may save India's river dolphins,joy
Airbus A380 superjumbo takes off,joy
Naps are great for chaps,joy
Female astronaut sets record,joy
Corn stoves popping up in U.S. homes,surprise
Iraq closes borders with Syria and Iran,sadness
The troubling ending of 'The Departed',sadness
Vietnamese bank plans IPO listing,joy
Toyota's Scion parks in Second Life,surprise
Obama will run in 2008,joy
'Cagney and Lacey' finally coming to DVD,joy
Merkel: Stop Iran,fear
Salt Lake City mall shooter was teenager,sadness
Female astronaut sets record,joy
Oil holds at $58,joy
Obama announces presidential bid,joy
Tell your boss: Naps are good for you,joy
Serbia rejects United Nation's Kosovo plan,anger
Amish discuss shootings,sadness
"Jail me, I ate Ivory Coast chocolate",surprise
Can North Korea be trusted?,fear
Tourism lags in Bush's hometown,sadness
Astronaut's arrest tests NASA's mettle,surprise
Man gets second chance at space ride,joy
"Go ahead, take a nap, science says",surprise
Weekly Nielsen will 'Lost' find its way back?,joy
Brith Airways baggage charges cause confusion,surprise
Indonesian with bird flu dies,sadness
St. Louis poised for entertainment upswing,joy
New York City may ban iPods while crossing street,surprise
Boy allegedly told to kill by mom gives up,sadness
Gray wolves off endangered list,joy
Vista's hyped security will be tested,joy
UK police slammed over terror raid,fear
Mogadishu residents flee blasts,fear
Bomb kills 18 on military bus in Iran,sadness
"'WarioWare,' Wii make perfect fit",joy
U.S. at odds with cleric's aide,fear
Desperate Iraqi mother relies on militia for help,sadness
Full details of the EU report on Iran,surprise
Singer on Cowell: Glad he was mean,joy
Jones faces Europe meetings snub,sadness
Beckham goal helps Real snatch win,joy
Guinea: Plan offices close as country declares emergency,fear
Japan's economy grows,joy
United Nations peacekeepers raid Haitian slum,joy
Work starts on Arctic seed vault,joy
Social networking goes mobile,joy
"Beauticians cut, curl, offer stroke-prevention info",joy
"Siesta cuts risk of heart disease death, study finds",surprise
Thomas Cook to merge with MyTravel,joy
Nap your way to a successful career,joy
Village buried by 100 inches of snow,sadness
Oprah announces new book club pick,joy
The science of love ... and lust,joy
"Northeaster cancels flights, shuts schools",sadness
Napping may be good for your heart,joy
Ryan O'Neal injured son's girlfriend,sadness
Chrysler's Valentine's Day massacre,sadness
Madrid bombings trial begins,fear
Fight starts over HPV vaccine,disgust
Autos drive European gains,joy
James Brown's partner can get her things,joy
Auto show canceled,sadness
UK luxury maker Burberry: 'Made in China'?,surprise
On-the-job naps might cut heart risk,joy
"No. 1 Florida survives Rupp Arena, streak hits 16",joy
J.K. Rowling marks spot of 'Potter's' end,sadness
Gronholm takes a commanding lead,joy
Howard slams Obama on Iraq policy,anger
Manila hints at ransom approval,sadness
Champion Murray too good for Kim,joy
"G7: Yen skates by, yuan singled out",sadness
Gunman 'was Srebrenica survivor',surprise
Cutting through the clutter to get things done,joy
Mother: Lohan is doing 'great' in rehab,joy
Who's going to win at the Grammys?,joy
"Libby defense upsets judge, rests",surprise
Breakup rings find new homes,sadness
Gronholm ahead as Solberg crashes,joy
'Norbit' a waste of Murphy,sadness
Rocky start for Bangkok airport,surprise
12 dead in Lebanese minibus bombings,sadness
Sex torture claims hit Russia army,disgust
Mega-marsupials once roamed Australia,surprise
Rupert Murdoch's secret TiVo,surprise
"UPDATE 1-Plane crashes at Moscow airport, no passengers",sadness
HPV vaccination stirs heated debate in America,surprise
Court TV: Accused killer tells jury a love story,surprise
Whistle-blowing Web site exposed,surprise
"Start late, retire rich",joy
Somali PM vows to bring Islamists to justice,anger
Swingers more common than most think,surprise
Anna Nicole Smith fans mourn in cyberspace,sadness
Antibiotic Ketek more dangerous than thought,fear
Time to book your cruise,joy
'Blazing Angels' for PS3 fails to soar,sadness
North Korea aid demand stall talks,sadness
Cartoon Network head steps down,sadness
Malaysia aggressively wooing tourists,joy
Anna Nicole Smith's Bahamas home seized,sadness
Andromeda involved in galactic collision,surprise
Rwanda mulling 3-kid limit for families,joy
Wilkinson sets record in tame win,joy
Army engineers say dam safe,joy
France: Al Qaeda suspects arrested,fear
Utah gunman survived Srebrenica,joy
Creating a whole album in a month?,surprise
India to test new nuclear missile,fear
G7 to China: Ease exchange rate grip,surprise
Hatton hands back IBF title again,joy
"Bernanke: Economy healthy, but...",fear
"Mickelson, Sutherland share lead",joy
"Napping is good for your heart, study finds",joy
Princess Masako author: No regrets,surprise
Students use IM-lingo in essays,surprise
Malaysia launches tourism campaign,joy
Study: Africa's Internet gap getting wider,sadness
Travel chaos as heavy snow hits UK,fear
Paula Abdul: 'I have never been drunk',surprise
Salmonella outbreak traced to peanut butter,fear
Putin: U.S. force fostering nuke ambitions,fear
"Nuke detectors to ring New York, official says",fear
Double bus-bombing kills three in Lebanon,sadness
Davydenko out as seeds scattered,surprise
Obama: I'm running for president,joy
Paterson boots Scotland to victory,joy
"African-Americans are organ donors these days, but what about bone marrow?",surprise
Study: On-the-job naps might help heart,joy
"Guinea capital largely calm under curfew, marital law",fear
Bosses sleeping on idea of letting workers take naps,surprise
Teacher's porn conviction sparks tech debate,disgust
Singapore pampers its waterfront promenade,joy
Rwanda mulls three-child limit,surprise
Samsung settles price-fixing lawsuit,joy
"Radical cleric al-Sadr in Iran, U.S. insists",fear
Reports: Harvard set to name first female president,joy
Iraq unveils new security plans,surprise
University offers support to New Orleans school,joy
"Storm causes slick, icy roads",fear
South Korea fire kills 10 foreigners,sadness
Prehistoric lovers found locked in eternal embrace,surprise
Charts: Is your city lean or lethargic?,surprise
Peru leader questioned in massacre probe,sadness
U.S. commander: Iraq not hopeless,joy
Australian PM stands by Obama attack,joy
Mardi Gras rebound in the offing for New Orleans?,joy
Siestas may cut heart disease risk,joy
"Oregon snorkeler mistaken for rodent, shot in face",sadness
Petraeus takes command in Iraq,fear
6 dead after Utah Mall shooting rampage,sadness
Sharks kill four people in 'dull' year,sadness
Record-shattering day on Wall St.,joy
Comedian says government silences critics,sadness
Rockers big winners at Brit Awards,joy
Samba school leader killed before Rio carnival,sadness
"Taiwan's 'Mr. Clean' indicted, steps down",sadness
Woman fights to keep drunken driver in jail,anger
Al Qaeda group calls for attacks on U.S. oil,fear
Cousin: Gunman was Srebrenica survivor,sadness
Turkmenistan votes for president,joy
Here is some advice to take to heart...,surprise
10 don't-miss tax breaks,joy
Police break up Kosovo protests,anger
Messi makes Barcelona squad return,joy
Jump reported in accidental drug-overdose deaths,sadness
Catania punished for fan violence,sadness
Isinbayeva sets 20th world record,joy
Lawmakers blast FDA drug safety oversight,anger
Regular naps make hearts healthy,joy
Ice stops trolleys cold,sadness
U.S. gunman 'was Srebrenica survivor',surprise
Outdated baby food found on shelves,disgust
Tow truck drivers accused of stealing cars,disgust
Bush: It's time for Congress to back energy plan,joy
UK soldiers cleared of Iraq abuse,joy
FDA revises label warnings on the antibiotic Ketek,joy
Toshiba Portege R400,joy
South Africa mourns Adelaide Tambo,sadness
Evacuees can return home after plant blast,joy
Anna Nicole Smith's body lies in legal limbo,sadness
Former teacher poses for Playboy,surprise
France rejects Rwandan investigators,anger
A nap a day may keep the heart doctor away,surprise
"Higley, Gonzalez lead in Malaysia",joy
Grammys ready to name winners,joy
Pound will not drop Armstrong case,anger
Reunited Police to start world tour in May,joy
Turkmen acting leader sworn in as new president,joy
Allen and Okur get All-Star call,joy
Svindal claims are golden double,joy
"Trolley Square shooting leaves 6 dead, including gunman",sadness
Bridge blast stops I-95 traffic,fear
"Mother, daughter stabbed near school",sadness
Excerpt: Politicians and the press,disgust
North Korea gets 'money and respect',joy
Beyonce in a bikini as SI's swimsuit cover model,joy
Loving with all your ... brain,surprise
Shoplifters' choice: Police or T-shirt of shame,surprise
Cuban official: Web a 'wild colt',fear
Slow 'Music and Lyrics',joy
Mexican navy helps in hunt for U.S. engineer,joy
Smith baby may not be pot of gold,sadness
Latest updates on world's top stories,fear
Beating leaves teen in coma,sadness
Tiempo Libre has Grammy dreams,joy
GPS sneakers locate with press of a button,surprise
Embattled Edwards blogger quits campaign,sadness
Britons deported from Somalia held under Terrorism Act,fear
Updates on world's top stories,fear
Breast cancer drug promises hope,joy
Ancient coin shows Cleopatra was no beauty,surprise
YouTube yields surprising payback,surprise
Up to 22 inches of snow in forecast,surprise
Werder make 10-man Ajax pay price,joy
EU condemns 'illegal' CIA flights,anger
Report links humans to global warming,fear
UN nuclear watchdog slashes Iran aid,anger
Survey: Tech a tool in teen dating abuse,sadness
The breast cancer breakthrough saving 1000 women a year,joy
"Tourist spot resists gravity, but not progress",sadness
The NFL's 20 biggest potential free agents,joy
World tourism sets record in 2006,joy
BA to charge $470 for an extra bag,surprise
Kuerten returns to winners' circle,joy
World's oldest newspaper now exists only online,surprise
Japanese whaler afire in Antarctic,sadness
EU document: Iranian bomb unstoppable,fear
U.S. urged to lead on 'green' actions,joy
See if your city is one of the United States' top 10 fittest or fattest,surprise
Lee in pre-World Cup injury scare,fear
New cancer drug to save a thousand lives a year,joy
Ex-teacher guilty in nude-pictures scheme,disgust
Fire extinguisher part of Tennessee execution kit,surprise
Founder returns to Dell helm,joy
Charles Gibson takes over first place,joy
Ex-Border Patrol agent beaten in prison,sadness
'Made in China' irks some Burberry shoppers,anger
Stonehenge workers' village found,surprise
Who is Prince Frederic von Anhalt?,surprise
Latest food-fad -- 'space potatoes',surprise
Ethiopia readies for millennium all its own,joy
Good news for slackers: Naps may cut risk for heart problems,joy
Snowbirds shortening their Florida stays,sadness
Win a (concert) date with the Police,joy
"Snow begins, heavy accumulations expected",fear
"Jet flips in snowstorm, none dead",joy
Frantic 911 call in Ryan O'Neal case,surprise
Durant's success trumps the Gators,joy
Scientist snoops in astronauts' journals,disgust
YouTube founders split $650M payout,joy
African nation hopes Whoopi can help,joy
United hang on to six-point lead,joy
Lawyer seizes Smith's Bahamas home,sadness
Was Prince's super show too revealing?,surprise
Clijsters looks for a long goodbye,sadness
Snow's too deep even for snowmobiles,surprise
Study: Female seals picky about mates,surprise
"ROUNDUP: Protests erupt despite ""state of siege"" In Guinea",anger
Study: More kids exposed to online porn,disgust
Beyonce new SI bikini cover girl,joy
"Marijuana helps ease HIV nerve pain, study says",surprise
Serena misses Bangalore tournament,sadness
"Dryer blamed for fire killing 39 cats, dogs",sadness
"Roddick, Murray score in San Jose",joy
Apple trademark dispute settled,joy
U.S. online love brokers eye China,sadness
U.S. diverts troops to fight Taliban,anger
'House of Cards' actor Ian Richardson dead,sadness
Taliban leader killed in airstrike,sadness
Escape to Prague without the summer hordes,joy
Kathmandu: First snow in 63 years,surprise
Nasdaq fails in bid for LSE,sadness
Ex-pastor gets death sentence,sadness
Baby born on turnpike after dad misses exit,surprise
Study links chimps and 'hammers',surprise
UN-Google Earth map climate change,joy
